2019-01-22-22-47-20,20,2359106,2248379,1531283,
,40,2288752,2058247,1716113,
,60,2221024,2013316,1977556,
,80,1986254,1943998,2156718,
,100,1815754,2036972,2305148,
,120,1631807,2041052,2358717,
,140,1462042,2162351,2376349,
,160,1459340,2197905,2357938,
,180,1203213,2413011,2352895,
,200,1160197,2718185,2164397,
,220,1194649,2917294,1956520,
,240,1198029,2913161,1955376,
,260,1345511,2924508,1757862,
,280,1488270,3113996,1592200,
,300,1669691,3025173,1381585,
,320,1879510,3068520,1405569,
,340,2123192,2806098,1332408,
,360,2257498,2645894,1370184,
,380,2317123,2528376,1411364,
,400,2354904,2320168,1561741,
