 w1,w2,w3
 1375385, 1440663, 1478798
 2725924, 1497572, 1904106
 2819012, 1646708, 2117071
 2820051, 1647912, 2117568
 2820969, 1648829, 2117502
 2821361, 1649410, 2117832
 2821206, 1650586, 2117963
 2821695, 1650157, 2118122
 2821044, 1650027, 2118026
 2820716, 1650533, 2117613
 2821857, 1650874, 2118056
 2821273, 1651105, 2118230
 2821613, 1651562, 2117780
 2821273, 1651268, 2117949
 2821826, 1651348, 2117803
 2822043, 1651693, 2118150
 2821698, 1651276, 2117873
 2821938, 1651343, 2118078
 2821191, 1651670, 2117883
 2821632, 1651352, 2117930
 2822055, 1651582, 2118190
 2821295, 1652067, 2118009
 2822080, 1652554, 2118097
 2821822, 1652794, 2117773
 2821586, 1652256, 2118032
 2821555, 1653341, 2118172
 2822002, 1652298, 2118165
 2821961, 1652147, 2118210
 2821556, 1652312, 2118096
 2822177, 1651646, 2117881
 2821878, 1652843, 2118084
 2822289, 1652279, 2117889
 2821641, 1652942, 2118175
 2822082, 1652346, 2118359
 2822830, 1651959, 2118128
 2822266, 1653038, 2118295
 2821856, 1653352, 2117991
 2822039, 1653152, 2117818
 2822008, 1652537, 2118058
 2822264, 1653296, 2118199
 2821973, 1652826, 2118148
 2822341, 1653232, 2118146
 2821933, 1652129, 2118106
 2822358, 1652970, 2118102
 2822160, 1652606, 2117679
 2822124, 1653417, 2117972
 2822048, 1652682, 2118092
 2822445, 1652051, 2118063
 2821836, 1653190, 2118002
 2821866, 1652385, 2118366
 2822327, 1652997, 2118234
 2822136, 1653265, 2118225
 2822517, 1652692, 2117989
 2822412, 1653623, 2117968
 2822067, 1653029, 2118088
 2822000, 1653014, 2118295
 2822195, 1652620, 2118094
 2822541, 1653057, 2118032
 2822097, 1652384, 2118087
 2822008, 1653148, 2118067
 2822364, 1653579, 2118153
 2821971, 1653520, 2118073
 2821856, 1653684, 2118292
 2821498, 1652870, 2118162
 2821370, 1653100, 2118105
 2822154, 1653446, 2118133
 2822166, 1652851, 2118078
 2822565, 1652963, 2118224
 2822148, 1653609, 2118029
 2822411, 1653551, 2118084
 2822274, 1653047, 2118239
 2822159, 1653842, 2118138
 2822055, 1653498, 2118137
 2821957, 1653679, 2118054
 2822130, 1653471, 2118179
 2822261, 1653226, 2118033
 2822367, 1653645, 2118349
 2822275, 1653115, 2118221
 2822173, 1653285, 2117986
 2822789, 1653473, 2118329
 2821798, 1653245, 2118476
 2821914, 1653443, 2118100
 2821994, 1653201, 2118165
 2822217, 1653586, 2118291
 2822418, 1654161, 2117994
 2822831, 1653766, 2118214
 2822040, 1653862, 2118133
 2822269, 1653204, 2118226
 2822051, 1653685, 2118146
 2822035, 1653546, 2118423
 2822263, 1653780, 2118203
 2822141, 1652938, 2118301
 2822185, 1652834, 2118102
 2822149, 1653628, 2118027
 2822940, 1653721, 2118380
