 0 0, 2346506, 3475494, 2437961, 1210051, 1925969, 1211034, 943
 1 0, 2346097, 3475294, 2437962, 1209642, 1925769, 1211035, 943
 2 0, 2345533, 3475141, 2437800, 1209078, 1925616, 1210873, 943
 3 0, 2345221, 3474975, 2437793, 1208766, 1925450, 1210866, 943
 4 0, 2345183, 3474956, 2437926, 1208728, 1925431, 1210999, 943
 5 0, 2345096, 3474951, 2438078, 1208641, 1925426, 1211151, 943
 6 0, 2345222, 3474913, 2438417, 1208767, 1925388, 1211490, 943
 7 0, 2345452, 3474987, 2438527, 1208997, 1925462, 1211600, 943
 8 0, 2345567, 3474941, 2438607, 1209112, 1925416, 1211680, 943
 9 0, 2345769, 3475098, 2438532, 1209314, 1925573, 1211605, 943
 10 0, 2345964, 3475114, 2438420, 1209509, 1925589, 1211493, 943
 11 0, 2346352, 3475364, 2438474, 1209897, 1925839, 1211547, 943
 12 0, 2346828, 3475526, 2438733, 1210373, 1926001, 1211806, 944
 13 0, 2347273, 3475680, 2438778, 1210818, 1926155, 1211851, 944
 14 0, 2347276, 3475691, 2438715, 1210821, 1926166, 1211788, 944
 15 0, 2347091, 3475617, 2438636, 1210636, 1926092, 1211709, 944
 16 0, 2347025, 3475601, 2438706, 1210570, 1926076, 1211779, 944
 17 0, 2346737, 3475512, 2438636, 1210282, 1925987, 1211709, 943
 18 0, 2346500, 3475416, 2438466, 1210045, 1925891, 1211539, 943
 19 0, 2346408, 3475410, 2438262, 1209953, 1925885, 1211335, 943
 20 0, 2346280, 3475318, 2438153, 1209825, 1925793, 1211226, 943
 21 0, 2346186, 3475266, 2438086, 1209731, 1925741, 1211159, 943
 22 0, 2346431, 3475340, 2438143, 1209976, 1925815, 1211216, 943
 23 0, 2346458, 3475403, 2438188, 1210003, 1925878, 1211261, 943
 24 0, 2346280, 3475434, 2438042, 1209825, 1925909, 1211115, 943
 25 0, 2346335, 3475407, 2437872, 1209880, 1925882, 1210945, 943
 26 0, 2346409, 3475493, 2437813, 1209954, 1925968, 1210886, 943
 27 0, 2346519, 3475449, 2437838, 1210064, 1925924, 1210911, 943
 28 0, 2346784, 3475653, 2437863, 1210329, 1926128, 1210936, 943
 29 0, 2347071, 3475839, 2437703, 1210616, 1926314, 1210776, 943
 30 0, 2347280, 3475938, 2437526, 1210825, 1926413, 1210599, 943
 31 0, 2347442, 3475960, 2437571, 1210987, 1926435, 1210644, 944
 32 0, 2347616, 3475989, 2437700, 1211161, 1926464, 1210773, 944
 33 0, 2347560, 3475986, 2437858, 1211105, 1926461, 1210931, 944
 34 0, 2347415, 3475878, 2438019, 1210960, 1926353, 1211092, 944
 35 0, 2347312, 3475904, 2438128, 1210857, 1926379, 1211201, 944
 36 0, 2347101, 3475801, 2438049, 1210646, 1926276, 1211122, 944
